datetime,4565cea0bf1881e5_5238,c6f6ba9a91fd90a6_5220,f41bea1bac733fb6_5044,ab570738092ae7d6_5282,2ee691d37eaa1aff_3529,c316bcf7a85c8242_3617,a812772f2ef60b6f_3527,70f70265dbeb7f36_3551,f1eb28176ffa3c00_3487,30b3a848f934811d_4746,28a43b2d6854838f_4725,70e599f772b22877_4670,d68d5d33331df58f_4689,2de587fc7359dd00_4662,07702ba2209dec22_4702,bde3b79da492ff98_23429,776e00b070251a36_23237,76a49e0074377eb5_23427,8c345724ee28a6ef_23253,312937ae45510dc1_23263,85a2219173d7e0e6_22695,19a25c5160008aab_9268,f8c41eb2b75f70a3_9354,36fa039140645de8_2504,173ff64a55da1183_2693,055497925c615bbd_2452,6db0b260ed58bea0_2713,8d9ad84c05e66fcb_2496,f00d607fabaf10c0_15907,1d2b291b0d13a9a8_6768,c6141bd7c5a47739_6764,2b54dede8d932577_6800,5f634a7023778237_6798,d1dd53e8b9cc6260_9488,576db970df29db32_9200,0bf2ba90b55e7ce6_2025,613398add7f57e9e_2020,166b01bcc9afc991_1922,7cdc3c802406f692_1968,33644a01fdab4b04_1914,36f2d2f47ffe7c23_2323,4620d1225421d300_2370,cbf49e6ecd2c2baf_2307,7280518b8f060bbf_2352,61a0f516255594bd_2372,8b302af3d7bf3476_2366,517f1095200efa97_2336,048b4e4419f084d5_2303,49c1ca1ec7501db8_2356,274f2dde6c0c1811_2169,de10e268d7bc2a3e_12216,d8a1d6f425317a78_9472,21c4ae593e1320c5_9490,b2ed5453796f7a87_9484,e5c50cbf5c7bb7f2_9470,088ecb23f16b0f5c_9266,332768ff95cbca00_2153,8e59e2cec0997164_4714,7fe046a211f6d0f8_4744,17590c05394aa86c_4742,dc24081d1d451df8_4666,8ca5662a2c14916a_4762,ea910b2f8f093672_4708,5a1b8c7077ad430e_4736,e03ce2c5ca2d56d9_4676,1f50493ec74590e1_9398,ec62ac70f32e82e4_9394,641bc525cf6bad32_9390,ad64516713f9b8fc_9196,ba83ad6e2231801e_9382,cb128c48cab6506e_9178,c786ca3d1d137d4d_9386,8c935877ead34113_9208,ffceb92260144a6b_9206,da8bc26f81f2c16e_9180,1cb3aa2206629305_9314,5741fe7d4d032aae_9306,0f926bafc6d94fdd_9340,4a031069d58d641a_9352,4f2863f48b7efdc4_9336,7624d507ab6c0b91_9376,c85627ec774e2b46_9392,66dc4353b7762e09_9350,08f67a695399ba46_9452,0532adaf3cd5d7d2_2309,afa04e247a48709c_2404
2020-06-18T00:00:00Z,0.75,0.7,0.85,10.65,9.65,11.75,13,27.65,12.15,,,7.65,12.2,11.15,11.15,9.9,,12.55,,13.3,12.4,12.7,1,10.55,9.95,,10.55,11.2,5.5,4.25,3.85,4.55,7.85,0.5,0.65,3.65,3.3,3.55,4.9,4.5,4,2.95,3.6,5.2,4.05,3.8,3.4,3.95,4.85,4.15,4.5,3.3,3.9,4.5,3.75,3.35,4.6,15.5,16.2,12.4,14.95,14.05,15.1,16.1,16.4,12,10.5,14.65,9.95,,13.85,11.1,22.1,12.6,11.05,,14.4,14.55,12.85,10.55,10.4,9.65,10.65,12.15,8.15,5.85
2020-06-18T01:00:00Z,0.7,1.45,1.95,4.4,7.7,8.7,12.8,9.3,12.8,,,6.1,9,9.45,9.3,7.05,,8.95,,9.7,9.35,12.25,0.85,8.7,8.35,,8.55,9.4,4.85,4.5,3.6,4.95,,,0.25,3.7,3.35,3.55,4.75,4.8,4.3,2.95,3.7,5.5,4.15,3.9,3.3,4.25,4.65,3.9,4.55,3.3,3.95,4.9,3.9,3.25,4.55,13.1,14.4,11.05,13.2,12.4,13,14.35,15,10.6,66.5,13,9.15,10.65,12.05,10.25,11.75,10.95,10.4,,11.25,12.6,11.3,9.95,10.1,9.05,10.65,10.9,8.85,
2020-06-18T02:00:00Z,0.9,2.2,2.25,2.35,7.35,8.3,14.2,7.65,7.5,,,6.5,8.85,8.45,7.6,7.05,8.2,8.6,,9.1,8.7,13.7,1.2,8.1,7.6,,7.6,8.65,4.6,4,3.25,11.45,,0.4,0.55,3.9,3.55,3.7,4.85,5.15,4.5,3.05,4.45,5.3,4.4,6.5,3.35,4.15,4.6,4,4.8,3.6,4.45,5,4.2,3.55,4.45,9.7,10.95,8,9.9,9.45,9.6,10.55,11.25,10.3,11.75,12.35,9.25,10.1,11.45,9.65,11.9,11.2,9.85,,12.45,12.5,11.55,9.3,8.95,,9.5,11.15,9.4,
2020-06-18T03:00:00Z,1.4,3.35,3.4,2.9,8.3,8.5,12.55,8.1,12,,,6.95,9.45,8.9,7.8,7.9,8.5,8.9,,9.75,9.25,12.9,4.9,7.8,6.8,,6.7,8.95,4.5,4.15,2.95,6.25,,,0.85,4.5,4.8,4.35,5.6,5.95,5.25,3.75,5.35,6.15,5.35,5.25,4,5.05,5.4,4.7,5.65,4.15,5.4,5.45,4.85,4.85,5.25,8.95,10.2,6.95,8.6,8.7,8.7,9,10.1,9.85,8.4,11.7,9.05,,10.75,9.1,11.2,10.8,10.2,,11.6,11.5,10.95,9.7,8.15,7.85,8.05,9.9,9.2,7.55
2020-06-18T04:00:00Z,1.8,5.4,5,4.35,7.6,8.15,10.35,7.4,11.1,,,7.5,9.4,8,8.5,9.15,9.5,10.6,,10.9,10.7,9.95,4.25,7.05,6.25,,6.1,7.2,4.4,4.2,2.95,8.5,,0.4,3.3,5.05,5.55,4.9,6,6.45,5.65,4.05,6,6.2,5.75,5.4,4.55,5.4,5.8,4.9,6.25,4.45,6.3,5.95,5.15,5.5,5.6,8.75,9.75,6.55,8.85,8.45,8.65,8.45,9.8,9.6,8.75,10.95,9.15,,10.35,8.55,10.5,10.95,9.9,,11.1,11.1,10.25,9.8,7.85,11.1,8.25,11.6,9.3,7.45
2020-06-18T05:00:00Z,2.1,5.8,5.75,5.85,6.2,7.1,7.25,6.9,13.45,,,6.5,8.2,6.85,6.35,7.6,7.85,8.8,,9.3,8.55,11,3.3,6.95,6.05,,5.85,7.15,4.95,4.55,3,13.35,7.95,1.25,3.35,5.35,6.25,5.35,6.55,6.45,6.15,4.5,6.25,6.7,6.45,5.85,4.95,6.2,6.5,5.35,6.85,4.95,6.5,6.85,5.4,6.05,6.3,8.35,8.75,6.35,8.5,8.35,8,8.8,9.75,8.7,11.5,10.95,11.05,,10.2,7.75,9.7,10.1,9.5,,11.15,10.9,9.8,9.7,7.45,18.05,7.3,16.95,9.3,7.55
2020-06-18T06:00:00Z,2.6,7.95,7.25,8.2,6.5,7.6,6.85,6.8,6.75,,,6.6,7.8,6.95,6.4,7.35,7.85,8.6,,8.85,8.35,12.2,5.2,7.65,6.1,,6.65,7.45,4.9,5.25,9.95,8.1,8.55,0.9,2.35,5.9,6.75,5.7,6.8,7.05,6.6,5.1,6.95,6.7,6.75,6.3,5.5,6.75,6.85,5.9,7.45,5.55,7.05,7.15,6,6.4,7,7.85,8.55,6.15,7.75,8,7.7,8.15,9.35,8.1,18.15,10.55,8,10.2,9.85,8.15,9.05,9.35,9.6,,10.95,10.8,9.4,9.45,9.3,16.1,8.05,12.75,7.75,6.2
2020-06-18T07:00:00Z,2,10.7,8,8.6,6.15,7.3,6.65,7.3,6.55,,,6.15,7.45,6.65,6.3,6.45,7.45,8.4,,8.35,7.7,4.45,14.25,7,6.6,,6.25,7.35,5.5,5.9,4.85,9.25,7.8,0.75,1.2,6.05,6.95,5.9,7.7,7.25,6.75,5.25,7.2,7.1,6.8,6.3,5.65,6.75,7,5.95,7.5,5.6,7.3,7.25,6.1,6.45,7.1,7.9,8.9,5.85,7.45,8,7.75,7.8,9.55,7.95,9.25,9.9,8.55,,10.05,9,9.1,9.15,9.9,9.75,10.6,10.5,9.5,10.1,9.95,11.9,8.1,11,7.75,6.25
2020-06-18T08:00:00Z,2.4,8.35,8.25,6.8,6.3,7.9,7.05,7.95,6.9,,,8.1,8.8,7.05,6.1,9.35,12.15,9.95,,9,9.05,3.45,12.35,7.35,6.4,,6.4,7.25,5.4,5.6,4.15,6.35,8.9,0.75,1.05,6.8,7.4,6.5,8.15,7.75,7.25,5.65,7.6,7.6,7.4,6.95,6.15,7.3,7.75,6.3,8.05,6.1,7.8,7.8,6.65,7,7.8,8.5,9.15,6.2,8,8.4,8.15,8.15,10.15,7.6,14,10.3,10.05,,10.1,10.15,9.2,9.05,9.85,8.95,10.85,10.35,9.3,9.4,7.75,,8.2,8.55,9.05,7.7
2020-06-18T09:00:00Z,3.3,7.1,6.5,6.6,6.95,7.95,7.2,8.65,7.45,,,7.1,8.25,7.75,6.85,7.5,8.15,9.4,,9.4,8.55,3,3.8,8.3,7.9,,7.4,8,6.05,5.25,4.05,5.7,9.4,0.8,,7.6,8.3,7.3,8.35,8.8,8.1,6.4,8.35,8.4,8.4,7.85,7.05,8.4,8.7,7.4,9.1,7.1,8.8,8.75,7.4,8.05,8.9,9.3,10,6.75,8.95,9.3,9.05,8.9,11.35,7.8,10.2,10.05,10.1,,9.75,9.75,9.85,9.65,10,8.8,10.25,10.1,9.05,9.8,7.75,,8.4,8.55,10.5,9.4
