ID,label,sensorType,DEVICE_LOCATIONTYPE,THINGSPEAK_PRIMARY_ID,THINGSPEAK_PRIMARY_ID_READ_KEY,THINGSPEAK_SECONDARY_ID,THINGSPEAK_SECONDARY_ID_READ_KEY,longitude,latitude,countryCode,stateCode,timezone,deviceID,locationID,deviceDeploymentID,pwfsl_closestDistance,pwfsl_closestMonitorID,sensorManufacturer,targetPollutant,technologyType,communityRegion,monitorID,elevation,siteName,countyName,msaName,monitorType,siteID,instrumentID,aqsID,pwfslID,pwfslDataIngestSource,telemetryAggregator,telemetryUnitID
5238,SCAH_04,PMS5003+PMS5003+BME280,outside,382970,PRDYH1H8NE97JL96,382971,TXJSBJY6UD9QBYPM,-122.055905,37.59342,US,CA,America/Los_Angeles,5238,4565cea0bf1881e5,4565cea0bf1881e5_5238,17843.7131858343,060811001_01,Purple Air,PM,consumer-grade,SCAH,4565cea0bf1881e5_5238,,SCAH_04,,,PMS5003+PMS5003+BME280,4565cea0bf1881e5,5238,,,ThingSpeak,,
5220,SCAH_10,PMS5003+PMS5003+BME280,outside,382934,7CTI8WIVWLD9DS3U,382935,AV0G9VFIXUFA0HHW,-122.234217,37.792463,US,CA,America/Los_Angeles,5220,c6f6ba9a91fd90a6,c6f6ba9a91fd90a6_5220,2568.31096233917,060010012_01,Purple Air,PM,consumer-grade,SCAH,c6f6ba9a91fd90a6_5220,,SCAH_10,,,PMS5003+PMS5003+BME280,c6f6ba9a91fd90a6,5220,,,ThingSpeak,,
5044,SCAH_22,PMS5003+PMS5003+BME280,outside,374974,Z8U5GE9V0BR9CYDJ,374975,8SI7J9KCR84KG4GG,-122.255158,37.799768,US,CA,America/Los_Angeles,5044,f41bea1bac733fb6,f41bea1bac733fb6_5044,995.161200453923,060010012_01,Purple Air,PM,consumer-grade,SCAH,f41bea1bac733fb6_5044,,SCAH_22,,,PMS5003+PMS5003+BME280,f41bea1bac733fb6,5044,,,ThingSpeak,,
5282,SCAH_28,PMS5003+PMS5003+BME280,outside,383665,Y1VE7N6ZECNY241D,383666,D30NU7J9YOQHALUG,-122.249959,37.792675,US,CA,America/Los_Angeles,5282,ab570738092ae7d6,ab570738092ae7d6_5282,1184.98255417788,060010012_01,Purple Air,PM,consumer-grade,SCAH,ab570738092ae7d6_5282,,SCAH_28,,,PMS5003+PMS5003+BME280,ab570738092ae7d6,5282,,,ThingSpeak,,
3529,SCAP_03,PMS5003+PMS5003+BME280,outside,334524,A64GKVKOX0GUR9SP,334525,IDQ3JVR029O67FQZ,-118.114707,34.070549,US,CA,America/Los_Angeles,3529,2ee691d37eaa1aff,2ee691d37eaa1aff_3529,10342.519016539,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,2ee691d37eaa1aff_3529,,SCAP_03,,,PMS5003+PMS5003+BME280,2ee691d37eaa1aff,3529,,,ThingSpeak,,
3617,SCAP_10,PMS5003+PMS5003+BME280,outside,335095,1B7GYYZTWWQU587N,335096,BIVGK4EA650OXN9I,-118.133589,34.059409,US,CA,America/Los_Angeles,3617,c316bcf7a85c8242,c316bcf7a85c8242_3617,8627.19925437282,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,c316bcf7a85c8242_3617,,SCAP_10,,,PMS5003+PMS5003+BME280,c316bcf7a85c8242,3617,,,ThingSpeak,,
3527,SCAP_14,PMS5003+PMS5003+BME280,outside,334520,PY9XN3RLFU394N5E,334521,HYOVGO1K5IMDDBXX,-118.134086,34.09842,US,CA,America/Los_Angeles,3527,a812772f2ef60b6f,a812772f2ef60b6f_3527,9256.40768811577,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,a812772f2ef60b6f_3527,,SCAP_14,,,PMS5003+PMS5003+BME280,a812772f2ef60b6f,3527,,,ThingSpeak,,
3551,SCAP_17,PMS5003+PMS5003+BME280,outside,334568,YITT02D5HK8UPRU6,334569,BVABOIFZJNLW60KH,-118.122714,34.052525,US,CA,America/Los_Angeles,3551,70f70265dbeb7f36,70f70265dbeb7f36_3551,9719.04754349173,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,70f70265dbeb7f36_3551,,SCAP_17,,,PMS5003+PMS5003+BME280,70f70265dbeb7f36,3551,,,ThingSpeak,,
3487,SCAP_19,PMS5003+PMS5003+BME280,outside,334432,CNTZNP2PWV6S7F8V,334433,HGFYF90V99B4NUIO,-118.11611,34.054372,US,CA,America/Los_Angeles,3487,f1eb28176ffa3c00,f1eb28176ffa3c00_3487,10291.8366968348,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,f1eb28176ffa3c00_3487,,SCAP_19,,,PMS5003+PMS5003+BME280,f1eb28176ffa3c00,3487,,,ThingSpeak,,
4746,scap_26,PMS5003+PMS5003+BME280,outside,370509,RGY8AI7898UEW03R,370510,BJX1VUQUUUOYT3UF,-118.12516,34.085861,US,CA,America/Los_Angeles,4746,30b3a848f934811d,30b3a848f934811d_4746,9614.10445204372,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,30b3a848f934811d_4746,,scap_26,,,PMS5003+PMS5003+BME280,30b3a848f934811d,4746,,,ThingSpeak,,
4725,SCAP_28,PMS5003+PMS5003+BME280,outside,370446,3HJV9H1UOUJ867AZ,370447,XK9ZPF5MA7LRVG99,-118.158621,34.068873,US,CA,America/Los_Angeles,4725,28a43b2d6854838f,28a43b2d6854838f_4725,6288.82876844401,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,28a43b2d6854838f_4725,,SCAP_28,,,PMS5003+PMS5003+BME280,28a43b2d6854838f,4725,,,ThingSpeak,,
4670,SCAP_31,PMS5003+PMS5003+BME280,outside,370306,E2H10GTF2FGXABY5,370307,KLAREHFO14DKWL18,-118.15437,34.054522,US,CA,America/Los_Angeles,4670,70e599f772b22877,70e599f772b22877_4670,6805.83084860622,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,70e599f772b22877_4670,,SCAP_31,,,PMS5003+PMS5003+BME280,70e599f772b22877,4670,,,ThingSpeak,,
4689,SCAP_34,PMS5003+PMS5003+BME280,outside,370353,93TWEIPP4QIN1ARB,370354,OJ1OX5VSLT039DLA,-118.141515,34.047986,US,CA,America/Los_Angeles,4689,d68d5d33331df58f,d68d5d33331df58f_4689,8124.99803727516,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,d68d5d33331df58f_4689,,SCAP_34,,,PMS5003+PMS5003+BME280,d68d5d33331df58f,4689,,,ThingSpeak,,
4662,SCAP_35,PMS5003+PMS5003+BME280,outside,370290,BIMSGL2SP9PQ6SLX,370291,ORP6Y79N2VBGSBG6,-118.109702,34.066422,US,CA,America/Los_Angeles,4662,2de587fc7359dd00,2de587fc7359dd00_4662,10794.1366886339,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,2de587fc7359dd00_4662,,SCAP_35,,,PMS5003+PMS5003+BME280,2de587fc7359dd00,4662,,,ThingSpeak,,
4702,SCAP_36,PMS5003+PMS5003+BME280,outside,370387,5PHQMFR18AN5IER0,370388,JHCUSN03FAKOU8OX,-118.103012,34.103541,US,CA,America/Los_Angeles,4702,07702ba2209dec22,07702ba2209dec22_4702,12133.5396864698,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,07702ba2209dec22_4702,,SCAP_36,,,PMS5003+PMS5003+BME280,07702ba2209dec22,4702,,,ThingSpeak,,
23429,SCAP_52,PMS5003+PMS5003+BME280,outside,658855,V08W1234M78DYCX7,658856,X16DX2VFK115UC0N,-118.15674,34.077048,US,CA,America/Los_Angeles,23429,bde3b79da492ff98,bde3b79da492ff98_23429,6563.41352947067,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,bde3b79da492ff98_23429,,SCAP_52,,,PMS5003+PMS5003+BME280,bde3b79da492ff98,23429,,,ThingSpeak,,
23237,SCAP_53,PMS5003+PMS5003+BME280,outside,658441,NH1JHEKZPBTLFYD3,658442,SUCOIEDMFH0W62TO,-118.173696,34.057421,US,CA,America/Los_Angeles,23237,776e00b070251a36,776e00b070251a36_23237,4994.83170833997,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,776e00b070251a36_23237,,SCAP_53,,,PMS5003+PMS5003+BME280,776e00b070251a36,23237,,,ThingSpeak,,
23427,SCAP_55,PMS5003+PMS5003+BME280,outside,658851,D21VY50ZM3I38MC3,658852,2O664JTZ3NJ7VVJS,-118.140457,34.087367,US,CA,America/Los_Angeles,23427,76a49e0074377eb5,76a49e0074377eb5_23427,8291.40537267133,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,76a49e0074377eb5_23427,,SCAP_55,,,PMS5003+PMS5003+BME280,76a49e0074377eb5,23427,,,ThingSpeak,,
23253,SCAP_58,PMS5003+PMS5003+BME280,outside,658491,5VAIKFSC5LSSPPCD,658492,6P9B6R8PRU2461LT,-118.116523,34.061238,US,CA,America/Los_Angeles,23253,8c345724ee28a6ef,8c345724ee28a6ef_23253,10181.8547534834,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,8c345724ee28a6ef_23253,,SCAP_58,,,PMS5003+PMS5003+BME280,8c345724ee28a6ef,23253,,,ThingSpeak,,
23263,SCAP_5G,PMS5003+PMS5003+BME280,outside,658513,HXFYOIRWVAGSWUK2,658515,QQLFJP28Z38BFLEM,-118.12897,34.08767,US,CA,America/Los_Angeles,23263,312937ae45510dc1,312937ae45510dc1_23263,9321.09171743768,060371103_01,Purple Air,PM,consumer-grade,,312937ae45510dc1_23263,,SCAP_5G,,,PMS5003+PMS5003+BME280,312937ae45510dc1,23263,,,ThingSpeak,,
22695,SCAP_87,PMS5003+PMS5003+BME280,outside,654979,SW76C6XAS2TSDSFI,654981,G11PSCXIB0DXLN8S,-118.140108,34.089108,US,CA,America/Los_Angeles,22695,85a2219173d7e0e6,85a2219173d7e0e6_22695,8378.55881292165,060371103_01,Purple Air,PM,consumer-grade,Alhambra/Monterey Park,85a2219173d7e0e6_22695,,SCAP_87,,,PMS5003+PMS5003+BME280,85a2219173d7e0e6,22695,,,ThingSpeak,,
9268,SCBB_01,PMS5003+PMS5003+BME280,outside,459052,AUFY3C1V8MQ0M6PS,459053,5WZM9OXHALPWNITS,-116.929558,34.242279,US,CA,America/Los_Angeles,9268,19a25c5160008aab,19a25c5160008aab_9268,31538.1546590718,060710005_01,Purple Air,PM,consumer-grade,Big Bear Lake,19a25c5160008aab_9268,,SCBB_01,,,PMS5003+PMS5003+BME280,19a25c5160008aab,9268,,,ThingSpeak,,
